local,longitud,latitud,denominacion,tipo
CDS,-67.55972222,-46.53805556,CAÑADÓN SECO,Aeródromo
CDU,-58.30666667,-32.455,CONCEPCIÓN DEL URUGUAY,Aeródromo
CED,-65.42051,-33.6422,MERCEDES,Aeródromo
CEJ,-64.74583333,-26.86972222,LAS CEJAS/AGROALAS SRL,Aeródromo
CFU,-62.78055556,-37.21472222,CARHUE/FUMAGRO,Aeródromo
CHA,-61.21011,-27.21639,CHARATA,Aeródromo
CHC,-58.29287,-30.53899,CHAJARI/EA. LA CHOZA,Aeródromo
CHJ,-58.00002,-30.7539,CHAJARI,Aeródromo
CHM,-70.22305556,-37.44416667,CHOS MALAL,Aeródromo
CHO,-71.45682,-42.4806,CHOLILA,Aeródromo
CHP,-71.13722222,-40.07527778,SAN MARTÍN DE LOS ANDES/AVIADOR C. CAMPOS,Aeródromo
CHR,-65.64701,-37.34005,CHACHARRAMENDI,Aeródromo
CHT,-61.21041,-27.30629,CHARATA/EL GRINGO,Aeródromo
CHY,-60.03222222,-34.9625,CHIVILCOY,Aeródromo
CIF,-60.04602,-34.07849,ARRECIFES/AEROCLUB,Aeródromo
CII,-57.42222222,-27.44833333,CORRIENTES/ITA IBATE,Aeródromo
CIP,-67.98888889,-38.89277778,CIPOLLETTI/AEROCLUB,Aeródromo
CIT,-58.31527778,-27.30333333,CORRIENTES/ITATI,Aeródromo
CLD,-62.03693,-33.3391,CHAÑAR LADEADO,Aeródromo
CLE,-64.16972222,-32.08805556,CORRALITO/LOMAS DEL ESPINILLO,Aeródromo
CLH,-68.96583,-46.53848,LAS HERAS,Aeródromo
CLI,-64.74972222,-23.78166667,CALILEGUA,Aeródromo
CLN,-58.15611111,-32.26083333,COLÓN,Aeródromo
CLT,-67.82881,-37.90819,COLONIA CATRIEL,Aeródromo
CNA,-58.72638889,-35.11166667,CAÑUELAS,Aeródromo
CNO,-59.87444444,-34.41805556,CARMEN DE ARECO,Aeródromo
CNS,-62.86911,-33.56247,CANALS,Aeródromo
COA,-62.37505556,-33.66431111,ARIAS,Aeródromo
COL,-64.14027778,-38.995,RÍO COLORADO,Aeródromo
CON,-61.04638889,-33.9225,COLÓN,Aeródromo
CPO,-58.672,-34.53433,CAMPO DE MAYO,Aeródromo
CQN,-64.45555556,-31.28583333,COSQUIN/SANTA MARÍA,Aeródromo
CQZ,-58.7175,-27.54972222,CAÑADA QUIROZ,Aeródromo
CRD,-58.015,-31.30388889,CONCORDIA/AEROCLUB,Aeródromo
CRR,-58.76194444,-27.44555556,CORRIENTES,Aeródromo
CRV,-67.46555556,-45.78527778,COMODORO RIVADAVIA/GRAL. E. MOSCONI,Aeródromo
CSA,-63.27608,-31.65737,CALCHÍN/AEROCAMPO SERVICIOS AÉREOS,Aeródromo
CSJ,-62.01466,-30.77697,MORTEROS/CAMPO SAN JOSÉ,Aeródromo
CSP,-59.69444444,-34.04027778,CAPITÁN SARMIENTO/SAN PATRICIO,Aeródromo
CSQ,-59.87336,-34.15622,CAPITÁN SARMIENTO/QUEBRACHO HERRADO,Aeródromo
CSR,-61.39401,-35.6298,CARLOS CASARES,Aeródromo
CSU,-58.01428056,-30.80216944,CHAJARI/SUR,Aeródromo
CTA,-60.55343,-38.74354,COPETONAS,Aeródromo
CTP,-63.43305556,-36.48861111,CATRILO/ESTABLECIMIENTO LA MARIA PILAR,Aeródromo
CTS,-59.73148,-34.16435,CAPITÁN SARMIENTO,Aeródromo
CUA,-64.33722222,-33.16055556,RÍO CUARTO/AEROCLUB,Aeródromo
CUM,-64.5321,-31.00589,LA CUMBRE,Aeródromo
CUT,-69.265,-38.93972222,CUTRAL-CO,Aeródromo
CVV,-64.90111111,-34.35638889,VILLA VALERIA,Aeródromo
CZU,-58.09694444,-29.77888889,CURUZÚ CUATIÁ/AEROCLUB,Aeródromo
DAR,-63.16253,-37.7122,DARREGUEIRA,Aeródromo
DFR,-61.77504,-36.59076,DAIREAUX/FUMIGACIONES RODRIGUEZ,Aeródromo
DIA,-57.99666667,-31.29694444,CONCORDIA/COMODORO PIERRESTEGUI,Aeródromo
DIL,-59.22858611,-37.23437778,TANDIL/HÉROES DE MALVINAS,Aeródromo
DIO,-58.98268,-37.34678,TANDIL/COMANDANTE EDUARDO A. OLIVERO,Aeródromo
DOF,-61.55366,-35.27799,MARTINEZ DE HOZ/FUMIGACIONES ORTEGA,Aeródromo
DOL,-57.72055556,-36.32,DOLORES,Aeródromo
DOP,-68.87395,-32.96254,MENDOZA/LA PUNTILLA,Aeródromo
DOR,-61.25583333,-38.74111111,CORONEL DORREGO,Aeródromo
DOZ,-68.79277778,-32.83166667,MENDOZA/EL PLUMERILLO,Aeródromo
DRA,-62.33392,-37.74961,SAAVEDRA,Aeródromo
DRX,-61.78416667,-36.58277778,DAIREAUX,Aeródromo
DRY,-65.10277778,-42.75916667,PUERTO MADRYN/EL TEHUELCHE,Aeródromo
DTE,-60.58329,-32.01621,DIAMANTE,Aeródromo
EAU,-68.30416667,-54.82277778,USHUAIA/EST. AERONAVAL,Aeródromo
EBF,-60.89944444,-31.40555556,ESPERANZA/ANIBAL BRIZI,Aeródromo
ECA,-72.05305556,-50.28,EL CALAFATE,Aeródromo
ECX,-64.275,-35.88222222,EDUARDO CASTEX,Aeródromo
EDO,-64.14083,-31.48679,CORONEL OLMEDO,Aeródromo
EGO,-61.54444444,-32.62944444,LAS PAREJAS/EL GAUCHO,Aeródromo
ELC,-60.12916667,-35.53666667,VEINTICINCO DE MAYO/ESTANCIA LA CRIOLLA,Aeródromo
ELD,-54.57472222,-26.39694444,ELDORADO,Aeródromo
ELL,-58.105,-38.30861111,MAR DEL SUR/EA. LUCILA,Aeródromo
ELP,-64.18672,-36.59712,SANTA ROSA/EL PAMPERO,Aeródromo
ELZ,-57.9625,-34.975,ELIZALDE,Aeródromo
EMA,-71.17083333,-42.03,EL MAITÉN,Aeródromo
EML,-58.35994,-35.19441,CORONEL BRANDSEN/EL MANANTIAL,Aeródromo
ENO,-58.78972222,-34.56,MARIANO MORENO,Aeródromo
ENV,-58.819,-27.58744,RIACHUELO/NUEVA VALENCIA,Aeródromo
EPZ,-60.84527778,-31.47333333,ESPERANZA,Aeródromo
ERE,-61.92696,-29.87161,CERES,Aeródromo
